term	estimate	std.error	statistic	p.value
(Intercept)	327.4000000000001	3.060682567300598	106.96960328321602	8.24039190237992e-56
genotypeASO	-21.60000000000004	4.32845879679541	-4.990228858362168	9.503255883524376e-6
age.fct5	-23.900000000000052	4.328458796795409	-5.521595820132217	1.5925021508272818e-6
age.fct12	-35.90000000000003	4.328458796795408	-8.293945185888967	1.292215662395871e-10
genotypeASO:age.fct5	-1.399999999999947	6.121365134601198	-0.22870715424022095	0.8201327351103256
genotypeASO:age.fct12	NA	NA	NA	NA
