term	estimate	std.error	statistic	p.value
(Intercept)	4.04928547500121	0.04996479568933625	81.0427705974875	2.0547449565202422e-50
genotypeASO	-0.038302456308806854	0.07066089170506008	-0.5420601889469785	0.5904513169502732
age.fct5	-0.021338560245292338	0.07066089170506007	-0.30198543678672923	0.7640544816375548
age.fct12	0.049842956066487386	0.07066089170506006	0.7053824946695105	0.48420777315367747
genotypeASO:age.fct5	-0.18150889824762215	0.09992959137867251	-1.8163678620461239	0.0759787893198667
genotypeASO:age.fct12	NA	NA	NA	NA
